pid,name
8471958,Dan Girardi
8473573,Artem Anisimov
8473722,John Scott
8474151,Ryan McDonagh
8474176,Carl Hagelin
8474584,Michael Del Zotto
8474613,Derek Stepan
8474772,Stu Bickel
8475148,Tim Erixon
8475692,Mats Zuccarello
8475184,Chris Kreider
8462047,Martin Biron
8468685,Henrik Lundqvist
8448208,Jaromir Jagr
8459424,Chris Pronger
8459670,Kimmo Timonen
8462535,Jody Shelley
8464975,Daniel Brière
8465210,Pavel Kubina
8467408,Matt Walker
8468486,Scott Hartnell
8468534,Andreas Lilja
8470171,Max Talbot
8470601,Braydon Coburn
8470640,Matt Carle
8471236,Andrej Meszaros
8471269,Nicklas Grossmann
8473512,Claude Giroux
8473542,Tom Sestito
8473568,Andreas Nodl
8474037,James van Riemsdyk
8474161,Jakub Voracek
8474163,Kevin Marshall
8474190,Wayne Simmonds
8474631,Marc-Andre Bourdon
8474736,Zac Rinaldo
8474892,Eric Wellwood
8475170,Brayden Schenn
8475430,Brandon Manning
8475603,Ben Holmstrom
8475640,Erik Gustafsson
8476158,Harry Zolnierczyk
8476177,Matt Read
8476461,Sean Couturier
8468524,Ilya Bryzgalov
8475683,Sergei Bobrovsky
8460541,Richard Park
8460719,Steve Sullivan
8465025,Arron Asham
8465166,Craig Adams
8465951,Matt Cooke
8466393,Pascal Dupuis
8468498,Brooks Orpik
8468542,Paul Martin
8468674,Deryk Engelland
8468789,Jason Williams
8469760,Zbynek Michalek
8470543,Chris Kunitz
8470644,Colin McDonald
8470678,Alexandre Picard
8470896,Steve MacIntyre
8471215,Evgeni Malkin
8471311,Tyler Kennedy
8471675,Sidney Crosby
8471702,Matt Niskanen
8471707,James Neal
8471724,Kris Letang
8471811,Cal O'Reilly
8471856,Joe Vitale
8473533,Jordan Staal
8473539,Carl Sneep
8473565,Brian Strait
8473914,Mark Letestu
8473933,Ben Lovejoy
8474025,Eric Tangradi
8474138,Dustin Jeffrey
8474145,Robert Bortuzzo
8475155,Simon Despres
8462161,Brent Johnson
8470594,Marc-Andre Fleury
8475097,Brad Thiessen
8465009,Zdeno Chara
8465056,Trent Whitfield
8465978,Shawn Thornton
8466215,Joe Corvo
8466333,Andrew Ference
8467967,Chris Kelly
8468636,Greg Zanon
8469619,Dennis Seidenberg
8470169,Gregory Campbell
8470187,Johnny Boychuk
8470230,Daniel Paille
8470596,Nathan Horton
8470636,Josh Hennessy
8470638,Patrice Bergeron
8471276,David Krejci
8471514,Rich Peverley
8471678,Benoit Pouliot
8471717,Adam McQuaid
8473419,Brad Marchand
8473473,Milan Lucic
8474000,Steven Kampfer
8474045,Zach Hamill
8474607,Max Sauve
8474749,Matt Bartkowski
8475150,Jordan Caron
8475283,Lane MacDermid
8475794,Tyler Seguin
8476211,Carter Camper
8476792,Torey Krug
8460612,Marty Turco
8460703,Tim Thomas
8471418,Anton Khudobin
8471695,Tuukka Rask
8462077,Jochen Hecht
8467344,Robyn Regehr
8467917,Jordan Leopold
8468504,Brad Boyes
8468700,Paul Gaustad
8469485,Derek Roy
8469506,Jason Pominville
8469555,Christian Ehrhoff
8469582,Colin Stuart
8469591,Cody McCormick
8470018,Matt Ellis
8470598,Thomas Vanek
8470685,Alexander Sulzer
8471226,Drew Stafford
8471284,Andrej Sekera
8471388,Patrick Kaleta
8471701,Joe Finley
8471752,Marc-Andre Gragnani
8471804,Nathan Gerbe
8473426,Mike Weber
8473898,Paul Szczechura
8474113,TJ Brennan
8474130,Corey Tropp
8474500,Derek Whitmore
8474551,Ville Leino
8474570,Cody Hodgson
8474574,Tyler Myers
8474589,Tyler Ennis
8474609,Luke Adam
8475102,Travis Turnbull
8475178,Zack Kassian
8475188,Brayden McNabb
8475220,Marcus Foligno
8468011,Ryan Miller
8469569,Drew MacIntyre
8473523,Jhonas Enroth
8459628,Hal Gill
8465200,Tomas Kaberle
8467351,Scott Gomez
8467396,Erik Cole
8467407,Brian Gionta
8467439,Jaroslav Spacek
8467496,Andrei Markov
8468463,Mathieu Darche
8468635,Travis Moen
8469500,Michael Cammalleri
8469521,Tomas Plekanec
8470324,Josh Gorges
8470329,Chris Campoli
8470603,Andrei Kostitsyn
8471229,Petteri Nokelainen
8471296,Alexei Emelin
8471504,Rene Bourque
8471521,Brad Staubitz
8471663,Mike Blunden
8471976,David Desharnais
8473466,Ryan White
8473608,Blake Geoffrion
8473647,Frédéric St-Denis
8474030,Aaron Palushaj
8474056,P.K. Subban
8474134,Yannick Weber
8474157,Max Pacioretty
8474189,Lars Eller
8475183,Louis Leblanc
8475254,Gabriel Dumont
8475372,Andreas Engqvist
8476244,Raphael Diaz
8469514,Peter Budaj
8471679,Carey Price
8458951,Sergei Gonchar
8460621,Daniel Alfredsson
8462225,Filip Kuba
8464956,Chris Phillips
8467493,Chris Neil
8467931,Matt Carkner
8469455,Jason Spezza
8469820,Zenon Konopka
8470599,Milan Michalek
8471299,Peter Regin
8471683,Brian Lee
8471862,Colin Greening
8473422,Nick Foligno
8473484,Kaspars Daugavins
8473588,Erik Condra
8473970,Rob Klinkhammer
8474024,Jim O'Brien
8474068,Kyle Turris
8474250,Zack Smith
8474498,Jesse Winchester
8474566,Nikita Filatov
8474578,Erik Karlsson
8474670,Andre Petersson
8474697,Mark Borowiecki
8474884,Mike Hoffman
8475118,Matt Gilroy
8475174,Jared Cowen
8475182,David Rundblad
8475637,Bobby Butler
8476205,Stephane Da Costa
8476459,Mika Zibanejad
8475164,Jakob Silfverberg
8475913,Mark Stone
8467913,Alex Auld
8467950,Craig Anderson
8471750,Ben Bishop
8475215,Robin Lehner
8467878,Tim Connolly
8468639,John-Michael Liles
8468695,Matthew Lombardi
8468778,Colton Orr
8469460,Mike Komisarek
8469474,Colby Armstrong
8469483,David Steckel
8470156,Joey Crabb
8470207,Joffrey Lupul
8470602,Dion Phaneuf
8470667,Clarke MacArthur
8470697,Philippe Dupuis
8470816,Jay Rosehill
8470986,Darryl Boyce
8471362,Mikhail Grabovski
8471371,Mike Brown
8471742,Cody Franson
8472424,Ryan Hamilton
8473548,Phil Kessel
8473579,Nikolay Kulemin
8474048,Keith Aulie
8474125,Carl Gunnarsson
8474192,Matt Frattin
8474568,Luke Schenn
8474577,Joe Colborne
8474581,Jake Gardiner
8475098,Tyler Bozak
8475154,Carter Ashton
8475172,Nazem Kadri
8473503,James Reimer
8475361,Jonas Gustavsson
8475680,Jussi Rynnas
8475681,Ben Scrivens
8467332,Bryan Allen
8469462,Tuomo Ruutu
8469476,Tim Gleason
8469531,Jay Harrison
8469638,Jussi Jokinen
8469812,Chad LaRose
8470137,Joni Pitkanen
8470283,Tim Brent
8470302,Patrick Dwyer
8470595,Eric Staal
8470618,Anthony Stewart
8471810,Derek Joslin
8471840,Brett Sutter
8473482,Jiri Tlusty
8473571,Jamie McBain
8473610,Bobby Sanguinetti
8474062,Riley Nash
8474091,Brandon Sutter
8474137,Drayson Bowman
8474220,Jerome Samson
8474576,Zach Boychuk
8474610,Zac Dalpe
8475753,Justin Faulk
8475784,Jeff Skinner
8476819,Jeremy Welsh
8462052,Brian Boucher
8470320,Cam Ward
8471251,Justin Peters
8474729,Mike Murphy
8460492,Ed Jovanovski
8464979,Marco Sturm
8465059,Matt Bradley
8466285,Brian Campbell
8466371,John Madden
8467428,Krys Barch
8467463,Mikael Samuelsson
8467910,Nolan Yonkman
8468162,Jerred Smithson
8468478,Mike Weaver
8468518,Tomas Kopecky
8469457,Stephen Weiss
8469473,Marcel Goc
8470005,Mark Cullen
8470039,Tomas Fleischmann
8470105,Scottie Upshall
8470176,Sean Bergenheim
8470729,Tyson Strachan
8471266,David Booth
8471346,Kris Versteeg
8471390,Mike Santorelli
8471681,Jack Skille
8471842,Tim Kennedy
8471996,Bracken Kearns
8472361,Bill Thomas
8473444,Jon Matsumoto
8473574,Shawn Matthias
8473867,Greg Rallo
8474149,Evgenii Dadonov
8474153,Michal Repik
8474184,Keaton Ellerby
8474520,Jason Garrison
8474606,Colby Robak
8475179,Dmitry Kulikov
8475790,Erik Gudbranson
8460535,Jose Theodore
8466339,Scott Clemmensen
8471822,Brian Foster
8474593,Jacob Markstrom
8465122,Brett Clark
8466142,Eric Brewer
8466378,Martin St. Louis
8467329,Vincent Lecavalier
8467915,Mike Commodore
8467925,Adam Hall
8467988,Ryan Malone
8468575,Dominic Moore
8469755,Brandon Segal
8469765,Marc-Andre Bergeron
8470774,Bruno Gervais
8470775,Nate Thompson
8471312,JT Wyman
8471634,Ryan Shannon
8471668,Mattias Ritola
8471703,Steve Downie
8471705,Brendan Mikkelson
8471767,Blair Jones
8471768,Tom Pyatt
8471916,Mike Angelidis
8473942,Trevor Smith
8473962,Teddy Purcell
8474095,Dana Tyrell
8474201,Pierre-Cedric Labrie
8474564,Steven Stamkos
8475104,Evan Oberg
8475167,Victor Hedman
8475792,Brett Connolly
8476806,JT Brown
8460806,Dwayne Roloson
8464999,Mathieu Garon
8467959,Sebastien Caron
8474682,Dustin Tokarski
8458590,Mike Knuble
8458938,Roman Hamrlik
8466251,Jason Chimera
8467365,John Erskine
8467831,Jeff Halpern
8468208,Joel Ward
8468611,Matt Hendricks
8469639,Brooks Laich
8469770,Dennis Wideman
8469779,Keith Aucoin
8470120,Alexander Semin
8470294,DJ King
8471214,Alex Ovechkin
8471240,Jeff Schultz
8471242,Mike Green
8471426,Troy Brouwer
8473563,Nicklas Backstrom
8473618,Mathieu Perreault
8473913,Sean Collins
8473991,Karl Alzner
8474291,Jay Beagle
8474383,Joel Rechlicz
8474590,John Carlson
8474649,Tomas Kundratek
8475149,Marcus Johansson
8475200,Dmitry Orlov
8475236,Cody Eakin
8460712,Tomas Vokoun
8473607,Michal Neuvirth
8474651,Braden Holtby
8458637,Sean O'Donnell
8459461,Brendan Morrison
8459514,Jamal Mayers
8459596,Andrew Brunette
8466148,Marian Hossa
8468927,Steve Montador
8469544,Patrick Sharp
8469665,Johnny Oduya
8470281,Duncan Keith
8470607,Brent Seabrook
8470666,Daniel Carcillo
8471220,Rostislav Olesz
8471245,Dave Bolland
8471254,Bryan Bickell
8471279,Sami Lepisto
8471769,Niklas Hjalmarsson
8473537,Viktor Stalberg
8473564,Michael Frolik
8473604,Jonathan Toews
8474141,Patrick Kane
8474625,Jimmy Hayes
8474727,Ben Smith
8475153,Dylan Olsen
8475181,Nick Leddy
8475204,Brandon Pirri
8475214,Jeremy Morin
8475323,Marcus Kruger
8475650,Brandon Bollig
8476381,Andrew Shaw
8476438,Brandon Saad
8469548,Ray Emery
8470645,Corey Crawford
8457063,Nicklas Lidstrom
8459444,Todd Bertuzzi
8460743,Tomas Holmstrom
8466149,Daniel Cleary
8467331,Brad Stuart
8467514,Pavel Datsyuk
8467928,Doug Janik
8468083,Henrik Zetterberg
8468509,Niklas Kronwall
8470047,Valtteri Filppula
8470201,Jiri Hudler
8470273,Ian White
8470318,Jonathan Ericsson
8470622,Patrick Eaves
8470724,Kyle Quincey
8470778,Drew Miller
8471309,Johan Franzen
8471693,Jakub Kindl
8471716,Justin Abdelkader
8471794,Darren Helm
8472368,Chris Conner
8473558,Cory Emmerton
8473569,Jan Mursak
8474090,Brendan Smith
8474168,Joakim Andersson
8474552,Fabian Brunnstrom
8474679,Gustav Nyquist
8475772,Riley Sheahan
8469152,Ty Conklin
8469732,Joey MacDonald
8470657,Jimmy Howard
8465914,Francis Bouillon
8467330,David Legwand
8467370,Mike Fisher
8467977,Brian McGrattan
8468064,Martin Erat
8469547,Jordin Tootoo
8470600,Ryan Suter
8470630,Kevin Klein
8470642,Shea Weber
8470687,Zack Stortini
8471228,Alexander Radulov
8471450,Brandon Yip
8471483,Kyle Wilson
8471697,Niclas Bergfors
8471741,Teemu Laakso
8471859,Sergei Kostitsyn
8471887,Patric Hornqvist
8474094,Matt Halischuk
8474096,Nick Spaling
8474143,Ryan Thang
8474164,Jonathon Blum
8474519,Jack Hillen
8474535,Chris Mueller
8474569,Colin Wilson
8474600,Roman Josi
8475176,Ryan Ellis
8475218,Mattias Ekholm
8475225,Craig Smith
8475268,Gabriel Bourque
8471469,Pekka Rinne
8474765,Anders Lindback
8459429,Jason Arnott
8459457,Jamie Langenbrunner
8459687,Scott Nichol
8467478,Kent Huskins
8467890,Barret Jackman
8468434,Andy McDonald
8469470,Carlo Colaiacovo
8470257,Alexander Steen
8470647,B.J. Crombeen
8470655,David Backes
8470737,Brett Sterling
8470871,Chris Porter
8471348,Nikita Nikitin
8471392,Roman Polak
8471490,Adam Cracknell
8471698,T.J. Oshie
8471710,Taylor Chorney
8471729,Kris Russell
8471743,Vladimir Sobotka
8471817,Ryan Reaves
8471851,Matt D'Agostini
8473485,Chris Stewart
8473534,Patrik Berglund
8474013,Ian Cole
8474029,Cade Fairchild
8474031,Kevin Shattenkirk
8474102,David Perron
8474565,Alex Pietrangelo
8474634,Evgeny Grachev
8475768,Jaden Schwartz
8470860,Jaroslav Halak
8470880,Brian Elliott
8474596,Jake Allen
8462042,Jarome Iginla
8464981,Cory Sarich
8466140,Olli Jokinen
8466158,Scott Hannan
8466398,Tom Kostopoulos
8467338,Alex Tanguay
8467943,Niklas Hagman
8468499,Krys Kolanos
8469120,Raitis Ivanans
8469490,Tim Jackman
8469664,David Moss
8470151,Jay Bouwmeester
8470162,Matt Stajan
8470265,Anton Babchuk
8470708,Guillaume Desbiens
8470740,Lee Stempniak
8470966,Mark Giordano
8471185,Curtis Glencross
8471321,Brett Carson
8471428,Pierre-Luc Letourneau-Leblond
8471761,Chris Butler
8472262,Clay Wilson
8473921,Joe Piskula
8473953,Derek Smith
8474038,Paul Byron
8474049,Akim Aliu
8474150,Mikael Backlund
8474587,Greg Nemisz
8474642,Lance Bouma
8474673,TJ Brodie
8475264,Roman Horak
8476466,Sven Baertschi
8462147,Miikka Kiprusoff
8473414,Leland Irving
8475431,Henrik Karlsson
8460577,Milan Hejduk
8469467,Chuck Kobasew
8469508,Jay McClement
8470152,Joakim Lindstrom
8470189,David Van Der Gulik
8470672,Ryan O'Byrne
8470699,Jan Hejda
8470839,Shane O'Brien
8470877,David Jones
8471331,Kevin Porter
8471436,Matt Hunwick
8471476,Daniel Winnik
8471657,Cody McLeod
8471669,Paul Stastny
8471730,Evan Brophey
8473446,Erik Johnson
8473465,Jamie McGinn
8473526,Peter Mueller
8473700,Ryan Wilson
8474001,TJ Galiardi
8474089,Brad Malone
8474705,Mark Olver
8475158,Ryan O'Reilly
8475168,Matt Duchene
8475197,Tyson Barrie
8475206,Stefan Elliott
8476225,Mike Connolly
8476455,Gabriel Landeskog
8462044,Jean-Sebastien Giguere
8473575,Semyon Varlamov
8460496,Ryan Smyth
8464984,Josh Green
8465050,Eric Belanger
8467304,Andy Sutton
8467423,Shawn Horcoff
8468513,Nick Schultz
8468660,Darcy Hordichuk
8469466,Ales Hemsky
8470104,Tom Gilbert
8470280,Ben Eager
8470309,Ryan Whitney
8470714,Corey Potter
8470988,Bryan Rodney
8471216,Cam Barker
8471222,Ladislav Smid
8471323,Ryan Jones
8471402,Lennart Petrell
8471689,Ryan O'Marra
8471762,Chris VandeVelde
8473507,Jeff Petry
8473525,Theo Peckham
8474040,Sam Gagner
8474046,Alex Plante
8474059,Linus Omark
8474128,Milan Kytnar
8474575,Colten Teubert
8474586,Jordan Eberle
8474691,Philippe Cornet
8474719,Teemu Hartikainen
8475165,Anton Lander
8475175,Magnus Paajarvi
8475791,Taylor Hall
8476454,Ryan Nugent-Hopkins
8459140,Nikolai Khabibulin
8471186,Yann Danis
8471227,Devan Dubnyk
8465192,Samuel Pahlsson
8465202,Sami Salo
8467334,Manny Malhotra
8467875,Daniel Sedin
8467876,Henrik Sedin
8469465,Dan Hamhuis
8469598,Kevin Bieksa
8469626,Andrew Alberts
8470054,Keith Ballard
8470274,Chris Higgins
8470310,Aaron Rome
8470358,Alexandre Burrows
8470616,Ryan Kesler
8470654,Maxim Lapierre
8470700,Byron Bitz
8471268,Victor Oreskovich
8471303,Alexander Edler
8471419,Mark Mancari
8471498,Jannik Hansen
8471664,Mason Raymond
8471941,Mike Duco
8473682,Andrew Ebbett
8474035,Bill Sweatt
8474668,Dale Weise
8475619,Aaron Volpatti
8475690,Chris Tanev
8466141,Roberto Luongo
8471239,Cory Schneider
8457981,Teemu Selanne
8459442,Saku Koivu
8465042,Toni Lydman
8467335,Mark Bell
8467400,Francois Beauchemin
8467844,Jason Blake
8468095,George Parros
8468598,Lubomir Visnovsky
8469992,Sheldon Brookbank
8470317,Nate Guenin
8470612,Ryan Getzlaf
8470621,Corey Perry
8470661,Jean-Francois Jacques
8471409,Andrew Gordon
8471676,Bobby Ryan
8471699,Andrew Cogliano
8473492,Matt Beleskey
8473493,Ben Maxwell
8474009,Nick Bonino
8474034,Pat Maroon
8474139,Maxime Macenauer
8474579,Luca Sbisa
8474646,Brandon McMillan
8475151,Kyle Palmieri
8475162,Mat Clark
8475180,Peter Holland
8475758,Devante Smith-Pelly
8475764,Cam Fowler
8468540,Dan Ellis
8470074,Jeff Deslauriers
8473972,Jonas Hiller
8476243,Iiro Tarkki
8460561,Sheldon Souray
8462041,Radek Dvorak
8462196,Stephane Robidas
8466160,Brenden Morrow
8467371,Mike Ribeiro
8467543,Toby Petersen
8467545,Michael Ryder
8468505,Steve Ott
8469759,Vernon Fiddler
8470063,Adam Burish
8470110,Trevor Daley
8470180,Eric Nystrom
8470626,Loui Eriksson
8470777,Francis Wathier
8471241,Mark Fistric
8471274,Alex Goligoski
8471352,Jake Dowell
8471385,Adam Pardy
8471807,Tom Wandell
8473994,Jamie Benn
8474707,Philip Larsen
8474818,Jordie Benn
8475173,Scott Glennie
8475191,Reilly Smith
8475266,Tomas Vincour
8475455,Brenden Dillon
8475671,Matt Fraser
8476116,Ryan Garbutt
8467453,Andrew Raycroft
8470140,Kari Lehtonen
8473614,Richard Bachman
8460504,Ethan Moreau
8465185,Willie Mitchell
8467346,Simon Gagne
8467452,Rob Scuderi
8467466,Trent Hunter
8468508,Justin Williams
8468526,Jarret Stoll
8470121,Matt Greene
8470604,Jeff Carter
8470606,Dustin Brown
8470617,Mike Richards
8470662,Colin Fraser
8470755,Brad Richardson
8471208,Dustin Penner
8471386,Scott Parse
8471677,Jack Johnson
8471685,Anze Kopitar
8473453,Trevor Lewis
8473908,Kevin Westgarth
8474100,Dwight King
8474166,Alec Martinez
8474518,Davis Drewiske
8474563,Drew Doughty
8474594,Slava Voynov
8474681,Andrei Loktionov
8475160,Kyle Clifford
8475325,Jordan Nolan
8471734,Jonathan Quick
8473541,Jonathan Bernier
8462129,Michal Handzus
8465005,Colin White
8466138,Joe Thornton
8466139,Patrick Marleau
8467096,Dan Boyle
8467899,Martin Havlat
8468114,Douglas Murray
8468213,Jim Vandermeer
8468515,Brad Winchester
8469622,Ryane Clowe
8469685,Andrew Murray
8470613,Brent Burns
8470794,Joe Pavelski
8471338,Torrey Mitchell
8471709,Marc-Edouard Vlasic
8471956,Andrew Desjardins
8473562,John McCarthy
8473600,Benn Ferriero
8473712,Frazer McLaren
8474027,Justin Braun
8474053,Logan Couture
8474218,Jason Demers
8474739,Tommy Wingels
8471306,Thomas Greiss
8474550,Antti Niemi
8459492,Vinny Prospal
8466181,Kristian Huselius
8468001,Derek MacKenzie
8468086,Alexandre Giroux
8468101,Radek Martinek
8468535,Antoine Vermette
8469469,R.J. Umberger
8469492,Fedor Tyutin
8469534,Aaron Johnson
8470041,Rick Nash
8470222,James Wisniewski
8470760,Marc Methot
8470838,Andrew Joudrey
8471187,Brett Lebda
8471261,Dane Byers
8471482,Grant Clitsome
8471760,Cody Bass
8471766,Jared Boll
8471868,Ryan Russell
8473432,Derek Dorsett
8473544,Derick Brassard
8474121,Colton Gillies
8474195,Maksim Mayorov
8474597,Cody Goloubef
8474685,Matt Calvert
8474693,Tomas Kubalik
8474715,Cam Atkinson
8474774,Dalton Prout
8475186,John Moore
8475233,David Savard
8475793,Ryan Johansen
8468166,Curtis Sanford
8473461,Steve Mason
8474057,Allen York
8476803,Shawn Hunwick
8464989,Matt Cullen
8468482,Dany Heatley
8468510,Jeff Taffe
8468584,Jon Disalvatore
8468887,Warren Peters
8469459,Mikko Koivu
8470153,Pierre-Marc Bouchard
8470580,Jed Ortmeyer
8470803,Kyle Brodziak
8470886,Clayton Stoner
8471280,Nick Johnson
8471314,Mike Lundin
8471670,Guillaume Latendresse
8471682,Devin Setoguchi
8471719,Matt Kassian
8471846,Kris Fredheim
8471885,Chad Rau
8473504,Cal Clutterbuck
8473511,David McIntyre
8473932,Darroll Powe
8473992,Justin Falk
8474042,Cody Almond
8474077,Carson McMillan
8474585,Tyler Cuma
8474618,Marco Scandella
8474716,Jared Spurgeon
8475219,Kristopher Foucault
8475602,Casey Wellman
8475613,Nate Prosser
8475679,Jarod Palmer
8475722,Jason Zucker
8475757,Brett Bulmer
8476224,Chay Genoway
8470216,Josh Harding
8473404,Niklas Backstrom
8475252,Matt Hackett
8467353,Nik Antropov
8468493,Ron Hainsey
8468704,Antti Miettinen
8468881,Jason Jaffray
8469501,Chris Thorburn
8469581,Kyle Wellwood
8470061,Derek Meech
8470289,Jim Slater
8470611,Eric Fehr
8470614,Mark Stuart
8470780,Mark Flood
8470828,Toby Enstrom
8470834,Dustin Byfuglien
8470854,Tanner Glass
8470905,Randy Jones
8471217,Andrew Ladd
8471218,Blake Wheeler
8471451,Aaron Gagnon
8471694,Kenndal McArdle
8471978,Brett Festerling
8472379,Tim Stapleton
8473412,Bryan Little
8473459,Arturs Kulda
8474050,Brett MacLean
8474074,Paul Postma
8474146,Spencer Machacek
8474567,Zach Bogosian
8474616,Patrice Cormier
8475159,Carl Klingberg
8475169,Evander Kane
8475788,Alexander Burmistrov
8476460,Mark Scheifele
8462152,Chris Mason
8471715,Ondrej Pavelec
8474771,Peter Mannino
8473944,Matt Anderson
8475199,Eric Gelinas
8476849,Harri Pesonen
8476870,Stefan Matteau
8471712,Jeff Frazee
8476234,Keith Kinkaid
8473514,Jesse Joensuu
8474066,Thomas Hickey
8475314,Anders Lee
8475754,Brock Nelson
8467881,Taylor Pyatt
8474850,Brandon Mashinter
8475749,Christian Thomas
8476468,J.T. Miller
8475342,Oliver Lauridsen
8475395,Matthew Konan
8475775,Tye McGinn
8475917,Jason Akeson
8476872,Scott Laughton
8468038,Michael Leighton
8475761,Beau Bennett
8462033,Wade Redden
8470704,Jamie Tardif
8471246,Chris Bourque
8471262,Carl Soderberg
8475727,Ryan Spooner
8476462,Dougie Hamilton
8475796,Mark Pysyk
8476808,Brian Flynn
8476888,Mikhail Grigorenko
8477244,Chad Ruhwedel
8474688,Greg Pateryn
8475797,Jarred Tinordi
8475848,Brendan Gallagher
8476470,Nathan Beaulieu
8476851,Alex Galchenyuk
8470378,Andre Benoit
8473468,Eric Gryba
8474605,Patrick Wiercioch
8474683,Derek Grant
8475661,Dave Dziurzynski
8476195,Cory Conacher
8476419,Jean-Gabriel Pageau
8473463,Leo Komarov
8473560,Korbinian Holzer
8474497,Michael Kostka
8471853,Nicolas Blanchard
8474052,Chris Terry
8474135,Brett Bellemore
8474615,Jared Staal
8474661,Michal Jordan
8476465,Ryan Murphy
8458529,Alex Kovalev
8473416,Michael Caruso
8473616,Jonathan Rheault
8474554,Eric Selleck
8475213,Drew Shore
8475304,Scott Timmins
8475755,Alexander Petrovic
8475760,Nick Bjugstad
8475769,Quinton Howden
8476456,Jonathan Huberdeau
8470804,Mathieu Roy
8473986,Alex Killorn
8474717,Mark Barberio
8474870,Tyler Johnson
8475209,Richard Panik
8475462,Radko Gudas
8476292,Ondrej Palat
8477205,Andrej Sustr
8473638,Cedrick Desjardins
8465012,Tom Poti
8476162,Steve Oleksy
8476799,Cameron Schilling
8476880,Tom Wilson
8475831,Philipp Grubauer
8465058,Michal Rozsival
8474629,Shawn Lalonde
8475598,Ryan Stanton
8477243,Drew LeBlanc
8475622,Carter Hutton
8474873,Brian Lashoff
8475193,Tomas Tatar
8477059,Damien Brunner
8477215,Danny DeKeyser
8475852,Petr Mrazek
8471733,Rich Clune
8471912,Kevin Henderson
8473658,Victor Bartley
8475192,Taylor Beck
8475766,Austin Watson
8475893,Joonas Rask
8476835,Daniel Bang
8476887,Filip Forsberg
8475765,Vladimir Tarasenko
8476436,Dmitrij Jaskin
8464994,Steve Begin
8474837,Mark Cundari
8474844,Carter Bancks
8475196,Ben Hanowski
8475733,Max Reinhart
8476043,Ben Street
8476834,Roman Cervenka
8471433,Daniel Taylor
8471326,Patrick Bordeleau
8475958,Michael Sgarbossa
8475824,Sami Aittokallio
8474602,Justin Schultz
8476062,Mark Arcobello
8476855,Nail Yakupov
8473911,Steven Pinizzotto
8475147,Jordan Schroeder
8476302,Frank Corrado
8476482,Nicklas Jensen
8472370,Jordan Hendry
8475222,Sami Vatanen
8475770,Emerson Etem
8476483,Rickard Rakell
8476839,Viktor Fasth
8458537,Ray Whitney
8474098,Colton Sceviour
8474849,Antoine Roussel
8475163,Alex Chiasson
8476467,Jamie Oleksiak
8476846,Cristopher Nilstorp
8474162,Jake Muzzin
8475726,Tyler Toffoli
8476871,Tanner Pearson
8468485,Raffi Torres
8471700,Matt Pelech
8473536,James Sheppard
8474032,Nick Petrecki
8475625,Matt Irwin
8476807,Matt Tennyson
8471774,Alex Stalock
8459053,Adrian Aucoin
8471832,Nick Drazenovic
8474207,Nick Holden
8474744,Sean Collins
8476539,Jonathan Marchessault
8475728,Johan Larsson
8475745,Charlie Coyle
